pmid,start,end,set,mention,concept
107868,1082,1104,train,ankylosing spondylitis,"spondylitis, ankylosing"
107868,1197,1219,train,ankylosing spondylitis,"spondylitis, ankylosing"
116187,21,52,train,pyruvate carboxylase deficiency,pyruvate carboxylase deficiency disease
116187,316,347,train,pyruvate carboxylase deficiency,pyruvate carboxylase deficiency disease
116187,349,371,train,pyruvate carboxylase deficiency,pyruvate carboxylase deficiency disease
122435,22,36,train,wolman disease,wolman disease
122435,66,80,train,wolman disease,wolman disease
122435,547,561,train,wolman disease,wolman disease
122435,1115,1129,train,wolman disease,wolman disease
126380,23,45,train,ankylosing spondylitis,"spondylitis, ankylosing"
126380,91,113,train,ankylosing spondylitis,"spondylitis, ankylosing"
126380,637,659,train,ankylosing spondylitis,"spondylitis, ankylosing"
126380,908,930,train,ankylosing spondylitis,"spondylitis, ankylosing"
133535,20,33,train,c2 deficiency,complement component 2 deficiency
133535,150,163,train,c2 deficiency,complement component 2 deficiency
133535,257,269,train,c2-deficient,complement component 2 deficiency
133535,313,329,train,hodgkins disease,hodgkin disease
133535,479,492,train,c2 deficiency,complement component 2 deficiency
133535,621,634,train,c2 deficiency,complement component 2 deficiency
144081,26,41,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
144081,119,134,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
144081,394,409,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
144081,495,502,train,malaria,malaria
161677,24,37,train,c2 deficiency,complement component 2 deficiency
161677,105,117,train,c2-deficient,complement component 2 deficiency
161677,292,305,train,c2 deficiency,complement component 2 deficiency
161677,386,398,train,c2-deficient,complement component 2 deficiency
218453,0,20,train,adrenoleukodystrophy,adrenoleukodystrophy
218453,25,46,train,adrenomyeloneuropathy,adrenoleukodystrophy
218453,71,92,train,adrenal insufficiency,adrenal insufficiency
218453,142,162,train,adrenoleukodystrophy,adrenoleukodystrophy
218453,164,167,train,adrenoleukodystrophy,adrenoleukodystrophy
218453,185,206,train,adrenomyeloneuropathy,adrenoleukodystrophy
218453,208,211,train,adrenomyeloneuropathy,adrenoleukodystrophy
218453,283,286,train,adrenomyeloneuropathy,adrenoleukodystrophy
218453,312,315,train,adrenoleukodystrophy,adrenoleukodystrophy
218453,461,464,train,adrenoleukodystrophy,adrenoleukodystrophy
218453,465,468,train,adrenomyeloneuropathy,adrenoleukodystrophy
218453,473,502,train,pituitary-adrenal abnormality,pituitary diseases|adrenal gland diseases
218453,647,650,train,adrenoleukodystrophy,adrenoleukodystrophy
218453,655,658,train,adrenomyeloneuropathy,adrenoleukodystrophy
218453,712,733,train,adrenal insufficiency,adrenal insufficiency
218453,979,982,train,adrenoleukodystrophy,adrenoleukodystrophy
218453,987,990,train,adrenomyeloneuropathy,adrenoleukodystrophy
218453,1020,1048,train,adrenocrotical insufficiency,addison disease
218453,1059,1085,train,endocrinologic dysfunction,endocrine system diseases
313733,0,24,train,hereditary c2 deficiency,complement component 2 deficiency
313733,57,73,train,immunodeficiency,immunologic deficiency syndromes
313733,86,99,train,c2 deficiency,complement component 2 deficiency
313733,150,166,train,immunodeficiency,immunologic deficiency syndromes
313733,188,210,train,hypoimmunoglobulinemia,immunologic deficiency syndromes
313733,353,378,train,chromosomal abnormalities,chromosome aberrations
313733,498,511,train,c2 deficiency,complement component 2 deficiency
318684,0,58,train,hereditary deficiency of the third component of complement,"complement component 3 deficiency, autosomal recessive"
318684,75,80,train,fever,fever
318684,82,91,train,skin rash,exanthema
318684,97,108,train,arthralgias,arthralgia
318684,202,207,train,fever,fever
318684,209,218,train,skin rash,exanthema
318684,224,235,train,arthralgias,arthralgia
318684,1280,1289,train,skin rash,exanthema
318684,1294,1305,train,arthralgias,arthralgia
318684,1618,1643,train,decreased synthesis of c3,"complement component 3 deficiency, autosomal recessive"
318684,1690,1713,train,inherited c3 deficiency,"complement component 3 deficiency, autosomal recessive"
318684,1780,1785,train,fever,fever
318684,1787,1796,train,skin rash,exanthema
318684,1802,1812,train,arthralgia,arthralgia
409732,0,24,train,hereditary c7 deficiency,complement component 7 deficiency
409732,162,184,train,ankylosing spondylitis,"spondylitis, ankylosing"
409732,189,237,train,deficient in the seventh component of complement,complement component 7 deficiency
409732,707,720,train,c7 deficiency,complement component 7 deficiency
409732,1013,1026,train,cm deficienty,complement component 7 deficiency
409732,1106,1141,train,complement deficiencies (c2 and c7),complement component 7 deficiency|complement component 2 deficiency
492335,8,44,train,defect in secretion of complement c5,leiner disease
492335,64,119,train,deficiency of the fifth (c5) component of complement1-3,leiner disease
492335,1187,1200,train,c5 deficiency,leiner disease
492812,10,34,train,meningococcal meningitis,"meningitis, meningococcal"
492812,40,84,train,absence of the sixth component of complement,complement component 6 deficiency
492812,180,204,train,meningococcal meningitis,"meningitis, meningococcal"
492812,209,253,train,absence of the sixth component of complement,complement component 6 deficiency
492812,313,334,train,neisserial infections,neisseriaceae infections
492812,338,351,train,c6 deficiency,complement component 6 deficiency
492812,592,604,train,c6-deficient,complement component 6 deficiency
492812,801,822,train,neisserial infections,neisseriaceae infections
495634,0,47,train,deficiency of the fifth component of complement,leiner disease
495634,179,226,train,deficiency of the fifth component of complement,leiner disease
495634,409,429,train,gonococcal infection,gonorrhea
495634,974,986,train,c5-deficient,leiner disease
495634,1518,1531,train,c5 deficiency,leiner disease
495634,1674,1687,train,c5 deficiency,leiner disease
495634,1689,1705,train,deficiency of c5,leiner disease
495634,1790,1810,train,gonococcal infection,gonorrhea
511159,144,195,train,glucose-6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
511159,435,449,train,glucose 6-phosphate dehydrogenase-deficient,glucosephosphate dehydrogenase deficiency
511159,632,647,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
523196,104,124,train,lesch-nyhan syndrome,lesch-nyhan syndrome
523196,185,198,train,hyperuricemia,hyperuricemia
523196,203,234,train,central nervous system symptoms,central nervous system diseases
523196,402,422,train,lesch-nyhan syndrome,lesch-nyhan syndrome
523196,440,455,train,chroeoathetosis,paroxysmal nonkinesigenic dyskinesia
523196,457,467,train,spasticity,muscle spasticity
523196,469,486,train,dysarthric speech,dysarthria
523196,492,505,train,hyperuricemia,hyperuricemia
523196,992,1012,train,lesch-nyhan syndrome,lesch-nyhan syndrome
523196,1437,1448,train,lesch-nyhan,lesch-nyhan syndrome
523196,1635,1646,train,lesch-nyhan,lesch-nyhan syndrome
523196,1856,1876,train,lesch-nyhan syndrome,lesch-nyhan syndrome
624546,17,61,train,glucose-6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
624546,139,190,train,glucose-6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
624546,900,915,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
777027,0,58,train,hereditary deficiency of the fifth component of complement,leiner disease
777027,96,108,train,c5-deficient,leiner disease
777027,157,215,train,hereditary deficiency of the fifth component of complement,leiner disease
777027,317,329,train,c5-deficient,leiner disease
777027,331,334,train,c5d,leiner disease
777027,385,388,train,c5d,leiner disease
777027,432,460,train,systemic lupus erythematosus,"lupus erythematosus, systemic"
777027,986,999,train,c5 deficiency,leiner disease
777027,1047,1050,train,c5d,leiner disease
777027,1201,1204,train,c5d,leiner disease
777027,1396,1431,train,paroxysmal nocturnal hemoglobinuria,"hemoglobinuria, paroxysmal"
932197,0,58,test,hereditary deficiency of the fifth component of complement,leiner disease
932197,156,214,test,hereditary deficiency of the fifth component of complement,leiner disease
932197,279,307,test,systemic lupus erythematosus,"lupus erythematosus, systemic"
932197,983,996,test,c5 deficiency,leiner disease
932197,1055,1067,test,c5-deficient,leiner disease
932197,1069,1072,test,c5d,leiner disease
932197,1257,1260,test,c5d,leiner disease
932197,1426,1429,test,c5d,leiner disease
932197,1630,1648,test,glomerulonephritis,glomerulonephritis
932197,1650,1660,test,vasculitis,vasculitis
932197,1666,1675,test,arthritis,arthritis
932197,1769,1789,test,bacterial infections,bacterial infections
932197,1916,1919,test,c5d,leiner disease
932197,2034,2052,test,pyogenic infection,infection
941901,202,210,test,melanoma,melanoma
941901,273,292,test,deficiency of hex a,tay-sachs disease
941901,347,364,test,tay-sachs disease,tay-sachs disease
941901,366,369,test,tay-sachs disease,tay-sachs disease
941901,738,741,test,tay-sachs disease,tay-sachs disease
941901,972,975,test,tay-sachs disease,tay-sachs disease
941901,1114,1117,test,tay-sachs disease,tay-sachs disease
941901,1151,1167,test,hex a deficiency,tay-sachs disease
993342,105,153,test,deficiency of the second component of complement,complement component 2 deficiency
993342,257,305,test,deficiency of the second component of complement,complement component 2 deficiency
993342,453,466,test,c2 deficiency,complement component 2 deficiency
993342,512,525,test,c2 deficiency,complement component 2 deficiency
993342,603,616,test,c2 deficiency,complement component 2 deficiency
993342,734,747,test,c2 deficiency,complement component 2 deficiency
993342,1337,1350,test,c2 deficiency,complement component 2 deficiency
993342,1448,1461,test,c2 deficiency,complement component 2 deficiency
993342,1489,1502,test,c2 deficiency,complement component 2 deficiency
993342,1666,1679,test,c2 deficiency,complement component 2 deficiency
1056013,61,82,train,ataxia-telangiectasia,ataxia telangiectasia
1056013,93,109,train,genetic disorder,"genetic diseases, inborn"
1056013,126,143,train,immune deficiency,immunologic deficiency syndromes
1056013,145,167,train,chromosome instability,chromosomal instability
1056013,193,212,train,lymphoid malignancy,lymphoma
1056013,685,706,train,ataxia-telangiectasia,ataxia telangiectasia
1056013,934,962,train,chronic lymphocytic leukemia,"leukemia, lymphocytic, chronic, b-cell"
1056013,971,979,train,leukemia,leukemia
1056013,1101,1109,train,leukemic,leukemia
1056013,1275,1296,train,lymphoid malignancies,lymphoma
1056013,1392,1409,train,burkitts lymphoma,burkitt lymphoma
1056013,1420,1438,train,lymphoid neoplasms,lymphoma
1127526,0,13,train,analbuminemia,albumin
1127526,78,91,train,analbuminemia,albumin
1127526,281,292,train,ankle edema,ankle injuries
1127526,297,312,train,ease of fatigue,fatigue
1127526,519,539,train,arterial hypotension,hypotension
1146783,0,12,train,histidinemia,histidinemia
1146783,93,105,train,histidinemia,histidinemia
1201235,81,105,train,severe neonatal jaundice,"jaundice, neonatal"
1201235,125,140,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
1201235,253,272,train,hyperbilirubinaemia,hyperbilirubinemia
1201235,735,759,train,severe neonatal jaundice,"jaundice, neonatal"
1222588,44,65,train,ataxia-telangiectasia,ataxia telangiectasia
1222588,205,226,train,ataxia-telangiectasia,ataxia telangiectasia
1248000,0,19,train,malignant neoplasms,neoplasms
1248000,53,74,train,ataxia-telangiectasia,ataxia telangiectasia
1248000,76,97,train,ataxia-telangiectasia,ataxia telangiectasia
1248000,99,102,train,a-t,ataxia telangiectasia
1248000,110,138,train,autosomal recessive syndrome,"genetic diseases, inborn"
1248000,188,207,train,malignant neoplasms,neoplasms
1248000,275,278,train,a-t,ataxia telangiectasia
1248000,441,448,train,cancers,neoplasms
1248000,539,542,train,a-t,ataxia telangiectasia
1248000,697,716,train,malignant neoplasms,neoplasms
1248000,748,751,train,a-t,ataxia telangiectasia
1248000,841,860,train,malignant neoplasms,neoplasms
1248000,947,950,train,a-t,ataxia telangiectasia
1248000,1011,1029,train,malignant neoplasm,neoplasms
1248000,1108,1111,train,a-t,ataxia telangiectasia
1248000,1180,1186,train,cancer,neoplasms
1248000,1219,1266,train,"ovarian, gastric, and biliary system carcinomas",ovarian neoplasms|stomach neoplasms|biliary tract neoplasms
1248000,1274,1282,train,leukemia,leukemia
1248000,1287,1295,train,lymphoma,lymphoma
1248000,1319,1322,train,a-t,ataxia telangiectasia
1248000,1339,1348,train,neoplasms,neoplasms
1248000,1412,1476,train,"pancreatic, basal cell, colonic, breast, and cervical carcinomas","pancreatic neoplasms|carcinoma, basal cell|colorectal neoplasms|breast neoplasms|uterine cervical neoplasms"
1269174,0,13,train,analbuminemia,albumin
1269174,42,55,train,analbuminemia,albumin
1269174,138,155,train,atopic dermatitis,"dermatitis, atopic"
1269174,162,178,train,bronchial asthma,asthma
1269174,187,203,train,seizure disorder,epilepsy
1269174,209,229,train,hyperlipoproteinemia,hyperlipoproteinemias
1269174,237,250,train,corneal arcus,arcus senilis
1269174,482,495,train,analbuminemia,albumin
1269174,764,777,train,analbuminemia,albumin
1269174,854,867,train,analbuminemia,albumin
1269174,912,923,train,thalassemia,thalassemia
1279971,55,65,train,piebaldism,piebaldism
1279971,103,113,train,piebaldism,piebaldism
1279971,289,299,train,piebaldism,piebaldism
1279971,301,319,train,mental retardation,intellectual disability
1279971,325,354,train,multiple congenital anomalies,congenital abnormalities
1279971,786,793,train,piebald,piebaldism
1282899,173,184,train,lesch-nyhan,lesch-nyhan syndrome
1282899,276,296,train,lesch-nyhan syndrome,lesch-nyhan syndrome
1282899,309,378,train,complete deficiency of hypoxanthine guanine phosphoribosyltransferase,lesch-nyhan syndrome
1282899,643,663,train,lesch-nyhan syndrome,lesch-nyhan syndrome
1282899,1189,1203,train,hypoxanthine-guanine phosphoribosyltransferase deficient,lesch-nyhan syndrome
1301146,69,78,train,fragile x,fragile x syndrome
1301146,227,245,train,mental retardation,intellectual disability
1301146,392,410,train,fragile x syndrome,fragile x syndrome
1301146,678,696,train,fragile x syndrome,fragile x syndrome
1301161,4,18,train,norrie disease,norrie disease
1301161,70,84,train,norrie disease,norrie disease
1301161,96,123,train,x-linked recessive disorder,"genetic diseases, x-linked"
1301161,161,181,train,congenital blindness,leber congenital amaurosis
1301161,183,206,train,sensory neural deafness,"hearing loss, sensorineural"
1301161,211,229,train,mental retardation,intellectual disability
1301161,410,424,train,norrie disease,norrie disease
1301161,535,549,train,norrie disease,norrie disease
1301187,19,34,train,phenylketonuria,phenylketonurias
1301187,47,69,train,hyperphenylalaninemias,phenylketonurias
1301187,208,223,train,phenylketonuria,phenylketonurias
1301187,227,248,train,hyperphenylalaninemia,phenylketonurias
1301189,102,119,train,tay-sachs disease,tay-sachs disease
1301189,181,198,train,tay-sachs disease,tay-sachs disease
1301189,200,203,train,tay-sachs disease,tay-sachs disease
1301189,1638,1655,train,tay-sachs disease,tay-sachs disease
1301190,6,23,train,tay-sachs disease,tay-sachs disease
1301190,105,122,train,tay-sachs disease,tay-sachs disease
1301190,124,127,train,tay-sachs disease,tay-sachs disease
1301190,1284,1287,train,tay-sachs disease,tay-sachs disease
1301200,36,57,train,hyperphenylalaninemia,phenylketonurias
1301200,96,111,train,genetic defects,"genetic diseases, inborn"
1301200,133,148,train,phenylketonuria,phenylketonurias
1301200,150,153,train,phenylketonuria,phenylketonurias
1301200,159,180,train,hyperphenylalaninemia,phenylketonurias
1301200,182,185,train,hyperphenylalaninemia,phenylketonurias
1301200,583,586,train,phenylketonuria,phenylketonurias
1301200,587,590,train,hyperphenylalaninemia,phenylketonurias
1301200,656,659,train,hyperphenylalaninemia,phenylketonurias
1301201,179,200,train,hyperphenylalaninemia,phenylketonurias
1301201,683,686,train,phenylketonuria,phenylketonurias
1301201,939,964,train,classical phenylketonuria,phenylketonurias
1301937,19,46,train,hexosaminidase a deficiency,tay-sachs disease
1301937,148,165,train,tay-sachs disease,tay-sachs disease
1301937,167,170,train,tay-sachs disease,tay-sachs disease
1301937,231,234,train,tay-sachs disease,tay-sachs disease
1301937,324,327,train,tay-sachs disease,tay-sachs disease
1301937,673,676,train,tay-sachs disease,tay-sachs disease
1301938,32,49,train,tay-sachs disease,tay-sachs disease
1301938,78,95,train,tay-sachs disease,tay-sachs disease
1301938,97,100,train,tay-sachs disease,tay-sachs disease
1301938,108,144,train,autosomal recessive genetic disorder,"genetic diseases, inborn"
1301938,303,312,train,tay-sachs,tay-sachs disease
1301938,782,785,train,tay-sachs disease,tay-sachs disease
1301938,1548,1551,train,tay-sachs disease,tay-sachs disease
1302003,25,28,train,choroideremia,choroideremia
1302003,60,73,train,choroideremia,choroideremia
1302003,75,88,train,choroideremia,choroideremia
1302003,90,93,train,choroideremia,choroideremia
1302003,101,160,train,x-linked progressive degeneration of the choroid and retina,"eye diseases, hereditary"
1302003,233,236,train,choroideremia,choroideremia
1302003,286,289,train,choroideremia,choroideremia
1302003,384,387,train,choroideremia,choroideremia
1302003,812,815,train,choroideremia,choroideremia
1302003,890,893,train,choroideremia,choroideremia
1302008,46,59,train,wilms' tumour,wilms tumor
1302008,105,125,train,denys-drash syndrome,denys-drash syndrome
1302008,142,164,train,developmental disorder,developmental disabilities
1302008,212,225,train,renal failure,renal insufficiency
1302008,227,245,train,intersex disorders,disorders of sex development
1302008,250,262,train,wilms tumour,wilms tumor
1302008,371,383,train,wilms tumour,wilms tumor
1302022,24,42,train,myotonic dystrophy,myotonic dystrophy
1302022,124,142,train,myotonic dystrophy,myotonic dystrophy
1302022,144,146,train,myotonic dystrophy,myotonic dystrophy
1302022,525,527,train,myotonic dystrophy,myotonic dystrophy
1302022,807,809,train,myotonic dystrophy,myotonic dystrophy
1302032,0,18,train,fragile x syndrome,fragile x syndrome
1302032,127,145,train,fragile x syndrome,fragile x syndrome
1302032,189,198,train,fragile x,fragile x syndrome
1302032,448,457,train,fragile x,fragile x syndrome
1302032,552,561,train,fragile x,fragile x syndrome
1302032,572,590,train,fragile x syndrome,fragile x syndrome
1303170,15,33,train,huntington disease,huntington disease
1303170,99,117,train,huntington disease,huntington disease
1303170,280,282,train,huntington disease,huntington disease
1303170,363,365,train,huntington disease,huntington disease
1303170,691,693,train,huntington disease,huntington disease
1303170,1027,1029,train,huntington disease,huntington disease
1303170,1140,1142,train,huntington disease,huntington disease
1303170,1360,1362,train,huntington disease,huntington disease
1303171,56,70,train,norrie disease,norrie disease
1303171,872,886,train,norrie disease,norrie disease
1303171,888,891,train,norrie disease pseudoglioma,norrie disease
1303173,55,69,train,glucose 6-phosphate dehydrogenase deficient,glucosephosphate dehydrogenase deficiency
1303173,104,155,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
1303173,762,777,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
1303173,1527,1552,train,enzyme deficiency in glucose 6-phosphate dehydrogenase,glucosephosphate dehydrogenase deficiency
1303277,80,101,train,prader-willi syndrome,prader-willi syndrome
1303277,119,140,train,prader-willi syndrome,prader-willi syndrome
1303277,142,145,train,"prader-willi syndrome
",prader-willi syndrome
1303277,234,267,train,maternal disomy for chromosome 15,"chromosome 15, trisomy mosaicism"
1303277,377,380,train,"prader-willi syndrome
",prader-willi syndrome
1303277,659,662,train,"prader-willi syndrome
",prader-willi syndrome
1303277,813,816,train,"prader-willi syndrome
",prader-willi syndrome
1307230,40,57,train,tay-sachs disease,tay-sachs disease
1307230,163,180,train,tay-sachs disease,tay-sachs disease
1307230,182,185,train,tay-sachs disease,tay-sachs disease
1307230,303,306,train,tay-sachs disease,tay-sachs disease
1307230,476,479,train,tay-sachs disease,tay-sachs disease
1307230,694,697,train,tay-sachs disease,tay-sachs disease
1307245,36,50,train,norrie disease,norrie disease
1307245,111,134,train,x linked norrie disease,norrie disease
1307245,136,138,train,norrie disease,norrie disease
1307245,271,273,train,norrie disease,norrie disease
1307245,944,958,train,norrie disease,norrie disease
1307253,293,331,train,duchenne and becker muscular dystrophy,"muscular dystrophy, duchenne|becker's muscular dystrophy"
1307253,333,336,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
1307253,337,340,train,becker's muscular dystrophy,becker's muscular dystrophy
1307253,497,505,train,duchenne,"muscular dystrophy, duchenne"
1311721,233,239,train,tumors,neoplasms
1311721,405,418,train,neuroblastoma,neuroblastoma
1311721,516,521,train,tumor,neoplasms
1311721,576,582,train,tumors,neoplasms
1311721,679,685,train,tumors,neoplasms
1311721,885,893,train,leukemia,leukemia
1311721,1040,1048,train,leukemia,leukemia
1311721,1105,1119,train,acute leukemia,leukemia
1311721,1344,1352,train,leukemia,leukemia
1313112,56,91,train,familial adenomatous polyposis coli,adenomatous polyposis coli
1313112,122,157,train,familial adenomatous polyposis coli,adenomatous polyposis coli
1313112,159,163,train,familial adenomatous polyposis coli,adenomatous polyposis coli
1313112,170,186,train,epidermoid cysts,epidermal cyst
1313112,188,197,train,osteomata,osteoma
1313112,212,268,train,congenital hypertrophy of the retinal pigment epithelium,retinal diseases
1313112,270,276,train,congenital hypertrophy of the retinal pigment epithelium,retinal diseases
1313112,370,385,train,mental handicap,intellectual disability
1313112,860,863,train,adenomatous polyposis coli,adenomatous polyposis coli
1313112,874,877,train,adenomatous polyposis coli,adenomatous polyposis coli
1315306,126,144,train,huntington disease,huntington disease
1315306,166,186,train,retinal degeneration,retinal degeneration
1315306,257,281,train,hereditary retinopathies,"eye diseases, hereditary"
1315306,696,714,train,huntington disease,huntington disease
1315306,716,718,train,huntington disease,huntington disease
1315306,818,820,train,huntington disease,huntington disease
1315306,1043,1045,train,huntington disease,huntington disease
1316718,11,25,train,kaposi sarcoma,"sarcoma, kaposi"
1316718,30,45,train,t-cell lymphoma,"lymphoma, t-cell"
1316718,68,92,train,wiskott-aldrich syndrome,wiskott-aldrich syndrome
1316718,131,137,train,eczema,eczema
1316718,170,186,train,thrombocytopenia,thrombocytopenia
1316718,207,231,train,wiskott-aldrich syndrome,wiskott-aldrich syndrome
1316718,233,236,train,wiskott-aldrich syndrome,wiskott-aldrich syndrome
1316718,285,300,train,lymphadenopathy,lymphatic diseases
1316718,302,314,train,splenomegaly,splenomegaly
1316718,327,343,train,thrombocytopenia,thrombocytopenia
1316718,730,733,train,wiskott-aldrich syndrome,wiskott-aldrich syndrome
1316718,795,809,train,kaposi sarcoma,"sarcoma, kaposi"
1316718,914,940,train,t-cell large cell lymphoma,"lymphoma, t-cell"
1316718,989,1007,train,epstein-barr virus,epstein-barr virus infections
1316718,1012,1027,train,cytomegalovirus,cytomegalovirus infections
1316718,1134,1162,train,human immunodeficiency virus,hiv infections
1316718,1164,1167,train,hiv,hiv infections
1316718,1198,1212,train,kaposi sarcoma,"sarcoma, kaposi"
1316718,1241,1277,train,congenital immunodeficiency syndrome,immunologic deficiency syndromes
1316718,1288,1302,train,kaposi sarcoma,"sarcoma, kaposi"
1316718,1426,1429,train,hiv,hiv infections
1316718,1540,1554,train,kaposi sarcoma,"sarcoma, kaposi"
1317264,4,7,train,adenomatous polyposis coli,adenomatous polyposis coli
1317264,30,60,train,familial adenomatous polyposis,adenomatous polyposis coli
1317264,82,96,train,gastric cancer,stomach neoplasms
1317264,107,121,train,gastric cancer,stomach neoplasms
1317264,141,147,train,cancer,neoplasms
1317264,240,255,train,gastric cancers,stomach neoplasms
1317264,338,364,train,adenomatous polyposis coli,adenomatous polyposis coli
1317264,366,369,train,adenomatous polyposis coli,adenomatous polyposis coli
1317264,406,437,train,adenomatous polyps in the colon,adenomatous polyps
1317264,476,490,train,gastric cancer,stomach neoplasms
1317264,531,546,train,gastric cancers,stomach neoplasms
1317264,763,766,train,adenomatous polyposis coli,adenomatous polyposis coli
1317264,778,784,train,tumors,neoplasms
1317264,827,833,train,tumors,neoplasms
1317264,1023,1026,train,adenomatous polyposis coli,adenomatous polyposis coli
1317264,1104,1119,train,gastric cancers,stomach neoplasms
1319059,50,77,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
1319059,131,158,train,duchenne muscular dystrophy,"muscular dystrophy, duchenne"
1319059,160,163,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
1319059,360,363,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
1319059,535,538,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
1319059,884,887,train,"duchenne muscular dystrophy
","muscular dystrophy, duchenne"
1319838,63,66,train,adenomatous polyposis coli,adenomatous polyposis coli
1319838,90,107,train,colorectal polyps,colonic polyps
1319838,111,141,train,familial adenomatous polyposis,adenomatous polyposis coli
1319838,182,208,train,adenomatous polyposis coli,adenomatous polyposis coli
1319838,210,213,train,adenomatous polyposis coli,adenomatous polyposis coli
1319838,233,263,train,familial adenomatous polyposis,adenomatous polyposis coli
1319838,265,268,train,familial adenomatous polyposis,adenomatous polyposis coli
1319838,326,329,train,familial adenomatous polyposis,adenomatous polyposis coli
1319838,450,453,train,adenomatous polyposis coli,adenomatous polyposis coli
1319838,546,563,train,colorectal polyps,colonic polyps
1319838,577,580,train,familial adenomatous polyposis,adenomatous polyposis coli
1319838,920,923,train,familial adenomatous polyposis,adenomatous polyposis coli
1319838,946,952,train,polyps,polyps
1319838,1026,1029,train,familial adenomatous polyposis,adenomatous polyposis coli
1319838,1050,1056,train,polyps,polyps
1319838,1099,1102,train,adenomatous polyposis coli,adenomatous polyposis coli
1319838,1148,1165,train,colorectal polyps,colonic polyps
1319838,1169,1172,train,familial adenomatous polyposis,adenomatous polyposis coli
1319838,1275,1278,train,adenomatous polyposis coli,adenomatous polyposis coli
1322637,44,53,train,tay-sachs,tay-sachs disease
1322637,109,126,train,tay-sachs disease,tay-sachs disease
1322637,128,131,train,tay-sachs disease,tay-sachs disease
1322637,291,294,train,tay-sachs disease,tay-sachs disease
1322637,409,412,train,tay-sachs disease,tay-sachs disease
1322637,682,685,train,tay-sachs disease,tay-sachs disease
1322637,880,883,train,tay-sachs disease,tay-sachs disease
1322637,1171,1188,train,tay-sachs disease,tay-sachs disease
