pmid,start,end,mention,set,concept,code
10406016,889,901,inflammation,train,inflammation,inflammation
10406016,925,933,hematoma,train,hematoma,hematoma
10411803,14,30,hemolytic anemia,dev,"anemia, hemolytic","anemia, hemolytic"
10411803,249,265,hemolytic anemia,dev,"anemia, hemolytic","anemia, hemolytic"
10411803,323,340,hemolytic anemias,dev,"anemia, hemolytic","anemia, hemolytic"
10411803,482,498,hemolytic anemia,dev,"anemia, hemolytic","anemia, hemolytic"
10414674,1072,1092,platelet aggregation,dev,blood platelet disorders,blood platelet disorders
10414674,1195,1215,platelet aggregation,dev,blood platelet disorders,blood platelet disorders
10414674,1310,1318,hematoma,dev,hematoma,hematoma
10414674,1575,1578,subarachnoid hemorrhage,dev,subarachnoid hemorrhage,subarachnoid hemorrhage
10414674,1629,1645,artery aneurysms,dev,intracranial aneurysm,intracranial aneurysm
10414674,1689,1699,hemorrhage,dev,hemorrhage,hemorrhage
10414674,327,361,aneurysmal subarachnoid hemorrhage,dev,subarachnoid hemorrhage,subarachnoid hemorrhage
10414674,363,366,subarachnoid hemorrhage,dev,subarachnoid hemorrhage,subarachnoid hemorrhage
10414674,594,604,aneurysmal,dev,"aneurysm, ruptured","aneurysm, ruptured"
10414674,605,608,subarachnoid hemorrhage,dev,subarachnoid hemorrhage,subarachnoid hemorrhage
10414674,79,113,aneurysmal subarachnoid hemorrhage,dev,subarachnoid hemorrhage,subarachnoid hemorrhage
10414674,795,815,platelet aggregation,dev,blood platelet disorders,blood platelet disorders
10427794,129,138,hepatitis,test,drug-induced liver injury,drug-induced liver injury
10427794,18,32,liver toxicity,test,drug-induced liver injury,drug-induced liver injury
10427794,332,341,hepatitis,test,drug-induced liver injury,drug-induced liver injury
10427794,469,485,hypersensitivity,test,drug hypersensitivity,drug hypersensitivity
10427794,534,548,liver toxicity,test,drug-induced liver injury,drug-induced liver injury
10427794,599,613,hepatic damage,test,drug-induced liver injury,drug-induced liver injury
10427794,78,98,rheumatoid arthritis,test,"arthritis, rheumatoid","arthritis, rheumatoid"
10457883,217,235,respiratory arrest,train,respiratory insufficiency,respiratory insufficiency
10457883,248,260,desaturation,train,apnea,apnea
10457883,265,276,bradycardia,train,bradycardia,bradycardia
10457883,353,375,neuromuscular blockade,train,neuromuscular manifestations,neuromuscular manifestations
10462057,1227,1235,necrosis,test,necrosis,necrosis
10462057,1378,1386,necrosis,test,necrosis,necrosis
10462057,153,168,aplastic anemia,test,"anemia, aplastic","anemia, aplastic"
10462057,1811,1826,aplastic anemia,test,"anemia, aplastic","anemia, aplastic"
10462057,2002,2017,aplastic anemia,test,"anemia, aplastic","anemia, aplastic"
10462057,318,333,aplastic anemia,test,"anemia, aplastic","anemia, aplastic"
10510854,809,818,catalepsy,test,catalepsy,catalepsy
10520387,334,345,hypotensive,train,hypotension,hypotension
10520387,632,643,hypotensive,train,hypotension,hypotension
10520387,714,725,tachycardia,train,tachycardia,tachycardia
10520387,912,923,tachycardia,train,tachycardia,tachycardia
10520387,933,952,myocardial ischemia,train,myocardial ischemia,myocardial ischemia
10523326,1160,1172,hypertension,dev,hypertension,hypertension
10523326,1582,1594,hypertension,dev,hypertension,hypertension
10523326,1878,1890,hypertension,dev,hypertension,hypertension
10523326,280,292,hypertension,dev,hypertension,hypertension
10523326,382,394,hypertension,dev,hypertension,hypertension
10523326,63,75,hypertension,dev,hypertension,hypertension
10524660,1074,1082,headache,dev,headache,headache
10524660,1117,1128,migraineurs,dev,migraine disorders,migraine disorders
10524660,1134,1142,headache,dev,headache,headache
10524660,120,141,migraine without aura,dev,migraine without aura,migraine without aura
10524660,1228,1236,headache,dev,headache,headache
10524660,1248,1259,migraineurs,dev,migraine disorders,migraine disorders
10524660,1298,1319,migraine without aura,dev,migraine without aura,migraine without aura
10524660,1341,1349,headache,dev,headache,headache
10524660,1416,1420,pain,dev,pain,pain
10524660,1435,1453,migraine with aura,dev,migraine with aura,migraine with aura
10524660,1480,1490,depression,dev,depressive disorder,depressive disorder
10524660,156,160,pain,dev,pain,pain
10524660,1616,1626,depression,dev,depressive disorder,depressive disorder
10524660,1631,1639,headache,dev,headache,headache
10524660,1643,1661,migraine with aura,dev,migraine with aura,migraine with aura
10524660,189,207,migraine with aura,dev,migraine with aura,migraine with aura
10524660,212,233,migraine without aura,dev,migraine without aura,migraine without aura
10524660,385,389,pain,dev,pain,pain
10524660,39,60,migraine without aura,dev,migraine without aura,migraine without aura
10524660,404,425,migraine without aura,dev,migraine without aura,migraine without aura
10524660,476,494,migraine with aura,dev,migraine with aura,migraine with aura
10524660,533,541,headache,dev,headache,headache
10524660,654,672,migraine with aura,dev,migraine with aura,migraine with aura
10524660,744,765,migraine without aura,dev,migraine without aura,migraine without aura
10524660,77,95,migraine with aura,dev,migraine with aura,migraine with aura
10524660,878,886,headache,dev,headache,headache
10524660,906,917,migraineurs,dev,migraine disorders,migraine disorders
10524660,97,115,migraine with aura,dev,migraine with aura,migraine with aura
10526274,1019,1027,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
10526274,1795,1803,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
10526274,1873,1884,neutropenia,train,neutropenia,neutropenia
10526274,1916,1932,thrombocytopenia,train,thrombocytopenia,thrombocytopenia
10526274,1966,1979,neurotoxicity,train,neurotoxicity syndromes,neurotoxicity syndromes
10526274,200,228,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
10526274,2008,2019,neutropenia,train,neutropenia,neutropenia
10526274,2033,2039,sepsis,train,sepsis,sepsis
10526274,2095,2106,neutropenia,train,neutropenia,neutropenia
10526274,230,235,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
10526274,2365,2381,myelosuppression,train,bone marrow diseases,bone marrow diseases
10526274,2558,2566,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
10526274,2613,2618,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
10526274,319,327,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
10526274,32,60,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
10526274,539,547,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
10526274,635,643,toxicity,train,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
10526274,712,717,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
10526274,835,840,nonsmall cell lung carcinoma,train,"carcinoma, non-small-cell lung","carcinoma, non-small-cell lung"
10533019,119,125,tetany,dev,tetany,tetany
10533019,138,156,respiratory arrest,dev,respiratory insufficiency,respiratory insufficiency
10533019,272,278,tetany,dev,tetany,tetany
10533019,468,474,tetany,dev,tetany,tetany
10533019,53,59,tetany,dev,tetany,tetany
10539815,1321,1333,hypertension,dev,hypertension,hypertension
10539815,1335,1343,diabetes,dev,diabetes mellitus,diabetes mellitus
10539815,14,38,decreased renal function,dev,renal insufficiency,renal insufficiency
10539815,1487,1511,decreased renal function,dev,renal insufficiency,renal insufficiency
10539815,154,182,left ventricular dysfunction,dev,"ventricular dysfunction, left","ventricular dysfunction, left"
10539815,1637,1645,diabetes,dev,diabetes mellitus,diabetes mellitus
10539815,1667,1691,decreased renal function,dev,renal insufficiency,renal insufficiency
10539815,1831,1855,decreased renal function,dev,renal insufficiency,renal insufficiency
10539815,2124,2148,decreased renal function,dev,renal insufficiency,renal insufficiency
10539815,2409,2417,diabetes,dev,diabetes mellitus,diabetes mellitus
10539815,2435,2451,renal impairment,dev,renal insufficiency,renal insufficiency
10539815,2679,2703,decreased renal function,dev,renal insufficiency,renal insufficiency
10539815,2721,2724,congestive heart failure,dev,heart failure,heart failure
10539815,2777,2785,diabetes,dev,diabetes mellitus,diabetes mellitus
10539815,2827,2843,renal impairment,dev,renal insufficiency,renal insufficiency
10539815,2865,2868,congestive heart failure,dev,heart failure,heart failure
10539815,301,325,congestive heart failure,dev,heart failure,heart failure
10539815,327,330,congestive heart failure,dev,heart failure,heart failure
10539815,351,375,decreased renal function,dev,renal insufficiency,renal insufficiency
10539815,533,560,reduction in renal function,dev,renal insufficiency,renal insufficiency
10539815,56,69,heart failure,dev,heart failure,heart failure
10539815,578,581,congestive heart failure,dev,heart failure,heart failure
10539815,695,723,left ventricular dysfunction,dev,"ventricular dysfunction, left","ventricular dysfunction, left"
10539815,820,823,congestive heart failure,dev,heart failure,heart failure
10539815,999,1023,decreased renal function,dev,renal insufficiency,renal insufficiency
10565806,0,9,hypomania,dev,bipolar disorder,bipolar disorder
10565806,120,138,psychotic disorder,dev,psychotic disorders,psychotic disorders
10565806,162,171,hypomania,dev,bipolar disorder,bipolar disorder
10579464,683,696,hyperactivity,train,hyperkinesis,hyperkinesis
10579464,945,954,catalepsy,train,catalepsy,catalepsy
10669626,1144,1171,calcification of the artery,train,vascular calcification,vascular calcification
10669626,1223,1243,artery calcification,train,vascular calcification,vascular calcification
10669626,1345,1365,artery calcification,train,vascular calcification,vascular calcification
10669626,1507,1527,artery calcification,train,vascular calcification,vascular calcification
10669626,1675,1695,artery calcification,train,vascular calcification,vascular calcification
10669626,168,188,artery calcification,train,vascular calcification,vascular calcification
10669626,17,37,artery calcification,train,vascular calcification,vascular calcification
10669626,1853,1873,artery calcification,train,vascular calcification,vascular calcification
10669626,2019,2039,artery calcification,train,vascular calcification,vascular calcification
10669626,2084,2111,calcification of the artery,train,vascular calcification,vascular calcification
10669626,2219,2246,calcification of the artery,train,vascular calcification,vascular calcification
10669626,2481,2494,calcification,train,calcinosis,calcinosis
10669626,2618,2638,artery calcification,train,vascular calcification,vascular calcification
10669626,2748,2768,artery calcification,train,vascular calcification,vascular calcification
10669626,288,301,calcification,train,calcinosis,calcinosis
10669626,3055,3068,calcification,train,calcinosis,calcinosis
10669626,3136,3156,artery calcification,train,vascular calcification,vascular calcification
10669626,3447,3460,calcification,train,calcinosis,calcinosis
10669626,3518,3531,calcification,train,calcinosis,calcinosis
10669626,476,496,artery calcification,train,vascular calcification,vascular calcification
10669626,580,607,calcification of the artery,train,vascular calcification,vascular calcification
10669626,658,671,calcification,train,calcinosis,calcinosis
10669626,708,728,artery calcification,train,vascular calcification,vascular calcification
10669626,881,901,artery calcification,train,vascular calcification,vascular calcification
10672628,1261,1270,catalepsy,test,catalepsy,catalepsy
10672628,235,244,catalepsy,test,catalepsy,catalepsy
10672628,547,556,catalepsy,test,catalepsy,catalepsy
10672628,663,672,catalepsy,test,catalepsy,catalepsy
10672628,78,87,catalepsy,test,catalepsy,catalepsy
10672628,884,893,catalepsy,test,catalepsy,catalepsy
10677406,10,38,left ventricular dysfunction,test,"ventricular dysfunction, left","ventricular dysfunction, left"
10677406,1073,1083,depression,test,depressive disorder,depressive disorder
10677406,130,150,myocardial ischaemia,test,myocardial ischemia,myocardial ischemia
10677406,1701,1724,coronary artery disease,test,coronary artery disease,coronary artery disease
10677406,1745,1754,ischaemia,test,ischemia,ischemia
10677406,1787,1815,left ventricular dysfunction,test,"ventricular dysfunction, left","ventricular dysfunction, left"
10677406,1832,1851,myocardial stunning,test,myocardial stunning,myocardial stunning
10677406,1909,1918,ischaemia,test,ischemia,ischemia
10677406,2016,2039,coronary artery disease,test,coronary artery disease,coronary artery disease
10677406,241,269,left ventricular dysfunction,test,"ventricular dysfunction, left","ventricular dysfunction, left"
10677406,287,310,coronary artery disease,test,coronary artery disease,coronary artery disease
10677406,493,502,ischaemia,test,ischemia,ischemia
10677406,531,544,stable angina,test,"angina, stable","angina, stable"
10677406,570,593,coronary artery disease,test,coronary artery disease,coronary artery disease
10677406,63,86,coronary artery disease,test,coronary artery disease,coronary artery disease
10683478,417,428,hypothermia,train,hypothermia,hypothermia
10683478,719,732,hyperactivity,train,hyperkinesis,hyperkinesis
10683478,912,923,hypothermia,train,hypothermia,hypothermia
10692744,138,154,renal impairment,dev,kidney diseases,kidney diseases
10692744,198,216,gerstmann syndrome,dev,gerstmann syndrome,gerstmann syndrome
10692744,22,40,gerstmann syndrome,dev,gerstmann syndrome,gerstmann syndrome
10692744,48,57,confusion,dev,confusion,confusion
10704919,0,9,hemolysis,train,hemolysis,hemolysis
10704919,1019,1028,hemolysis,train,hemolysis,hemolysis
10704919,1204,1213,hemolysis,train,hemolysis,hemolysis
10704919,1369,1378,hemolysis,train,hemolysis,hemolysis
10704919,1500,1509,hemolysis,train,hemolysis,hemolysis
10704919,1843,1852,hemolysis,train,hemolysis,hemolysis
10704919,188,201,breast cancer,train,breast neoplasms,breast neoplasms
10704919,2037,2046,hemolysis,train,hemolysis,hemolysis
10704919,2357,2373,hemolytic anemia,train,"anemia, hemolytic","anemia, hemolytic"
10704919,263,279,hemolytic anemia,train,"anemia, hemolytic","anemia, hemolytic"
10704919,416,432,hemolytic anemia,train,"anemia, hemolytic","anemia, hemolytic"
10704919,518,527,hemolysis,train,hemolysis,hemolysis
10704919,593,602,hemolysis,train,hemolysis,hemolysis
10704919,675,684,hemolysis,train,hemolysis,hemolysis
10704919,827,836,hemolytic,train,hemolysis,hemolysis
10706004,106,118,hypertension,train,hypertension,hypertension
10706004,1165,1177,hypertension,train,hypertension,hypertension
10706004,1413,1425,hypertension,train,hypertension,hypertension
10706004,1441,1450,depressed,train,depressive disorder,depressive disorder
10706004,255,267,hypertension,train,hypertension,hypertension
10706004,290,302,hypertension,train,hypertension,hypertension
10706004,527,539,hypertension,train,hypertension,hypertension
10713017,1022,1025,primary pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,1039,1061,pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,109,131,pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,1091,1113,pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,1281,1284,primary pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,16,38,pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,1680,1683,primary pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,1875,1878,primary pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,1996,2018,pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,232,262,primary pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,264,267,primary pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,530,552,pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,704,726,pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,784,806,pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10713017,823,826,primary pulmonary hypertension,test,"hypertension, pulmonary","hypertension, pulmonary"
10721819,154,165,tachycardia,train,tachycardia,tachycardia
10721819,1553,1564,tachycardia,train,tachycardia,tachycardia
10721819,1568,1579,bradycardia,train,bradycardia,bradycardia
10721819,1788,1799,tachycardia,train,tachycardia,tachycardia
10721819,1856,1867,bradycardia,train,bradycardia,bradycardia
10721819,542,553,tachycardia,train,tachycardia,tachycardia
